Country_name,VG,Region,Cluster,Top_6,Large_or_Small,Global_Focus_Markets,Platform,View_ID,VG_GA_name,Homepage_URL,from_dt,to_dt,is_active
Romania,RO,SEE,EEC,No,S,No,local,102284240,RO,https://www.miele.ro,2021-01-01,2050-12-31,Y
Serbia,RS,SEE,EEC,No,S,No,local,102220503,SRB,https://www.miele.rs,2021-01-01,2050-12-31,Y
Russia,RU,SEE,Russia+,No,L,Yes,local,80806929,RU,https://www.miele.ru,2021-01-01,2050-12-31,Y
Sweden,SE,NWE,Nordics,No,S,No,legacy,81561052,SE,https://www.miele.se,2021-01-01,2022-02-01,N
Sweden,SE,NWE,Nordics,No,S,No,hybris,258986406,SE,https://www.miele.se,2022-02-02,2050-12-31,Y
Singapore,SG,APAC,Singapore+,No,L,Yes,intershop,80789870,SGP,https://www.miele.sg,2021-01-01,2050-12-31,Y
Slovakia,SK,SEE,EEC,No,S,No,intershop,80813309,SK,https://www.miele.sk,2021-01-01,2023-09-19,N
Slovakia,SK,SEE,EEC,No,S,No,hybris,292536921,SK,https://www.miele.sk,2023-09-20,2050-12-31,Y
Slovenia,SI,DACH,Austria+,No,S,No,local,102216196,SI,https://www.miele.si,2021-01-01,2050-12-31,Y
Thailand,TH,APAC,Singapore+,No,S,No,local,185927455,TH,https://www.miele.co.th,2021-01-01,2050-12-31,Y
Turkey,TR,SEE,,No,L,Yes,local,80815404,TR,https://www.miele.com.tr,2021-01-01,2050-12-31,Y
Ukraine,UA,SEE,Russia+,No,S,No,local,80813231,UA,https://www.miele.ua,2021-01-01,2050-12-31,Y
United States of America,US,NAR,,No,L,Yes,hybris,233255721,USA,https://www.mieleusa.com,2021-06-21,2050-12-31,Y
South Africa,ZA,NWE,United Kingdom+,No,S,No,legacy,79745139,ZA,https://www.miele.co.za,2021-01-01,2050-12-31,Y
Greece,GR,SEE,Greece+,No,L,Yes,hybris,284568943,GR,https://www.miele.gr,2023-04-04,2050-12-31,Y
