member_code,member_desc
Z19,Remote Selling
Z08,Call
Z22,B2C Shop
Z25,Miele Cloud Services
Z31,B2C Shop Subscript.
Z38,B2C Shop Guest
Z95,Event Booking
#,Not assigned
