crm_transaction_type
YA03
YA02
YA01
Y300
9811
9810
9611
9610
9603
9601
9084
9083
9082
9081
9080
9060
9042
9040
9035
9033
9031
9021
9019
9018
9016
9014
9013
9011
9010
9017
ZWL3
ZWL2
ZWG3
ZWG2
ZWAP
ZWAB
ZWA
ZVMA
ZTA
ZRV2
ZRGG
ZRG3
ZRG2
ZRE
ZRBV
ZPG2
ZL3
ZL2
ZKRG
ZKL2
ZKG3
ZKG2
ZKDV
ZKB
ZKA
ZINT
ZIG2
ZIDV
ZIB2
ZG3
ZG2
ZBV
ZAMR
ZAME
ZAMD
ZAMB
ZAGK
ZAG4
ZKRE
ZKL3
ZKE
ZAML
9085
9065
9061
9045
9015
9022
