member_code,member_desc
EA,each
H,Hour
KT,kt
L,Liter
LE,Perf. unit
M,Meter
MIN,Minute
ML,Milliliter
PAA,Pair
PAL,Pallet
ROL,Role
ST,items
STD,Hours
STZ,set
TU,Tube
